published_date,channel_id,channel_title,video_title,video_id,description,thumbnail_url,video_tag,categoryId,defaultAudioLanguage,duration(s),licensed_content,status,for_kids,view_count,like_count,favorite_count,comment_count,topic_category,start_time(UTC),end_time(UTC),scheduled_time(UTC),video_type
2024-10-15 05:00:16+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Nyasar nang Cafe Spy X Family!? #shorts #spyxfamily #vtuber,FNzsr96Di2M,,https://i.ytimg.com/vi/FNzsr96Di2M/sddefault.jpg,,20,id,57,True,public,False,15874,1743,0,34,"Entertainment,Food",,,,shorts
2024-10-01 13:34:04+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Roasting Cegil berkedok QnA #shorts #vtuber #qna,jtglQh4B8VY,,https://i.ytimg.com/vi/jtglQh4B8VY/sddefault.jpg,,24,id,59,True,public,False,9749,1367,0,32,Entertainment,,,,shorts
2024-09-24 11:00:33+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Edgar bocil edgy #shorts #vtuber #meme,T0fLywBYfe8,Source : @TeacherTimmm,https://i.ytimg.com/vi/T0fLywBYfe8/sddefault.jpg,,20,id,59,True,public,False,3787,457,0,19,Entertainment,,,,shorts
2024-09-09 10:30:02+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Jawaban Darnald kejauhan 💀 #shorts #meme #sekolah,6-R4Zv-E2MA,Source : @nursery_teacherrr (IG),https://i.ytimg.com/vi/6-R4Zv-E2MA/sddefault.jpg,,20,id,51,True,public,False,2151,265,0,13,"Entertainment,Film",,,,shorts
2024-08-22 10:30:14+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Vtuber penyabar #shorts #vtuber,K-ZPqIs_F4c,,https://i.ytimg.com/vi/K-ZPqIs_F4c/sddefault.jpg,chained together,20,id,60,True,public,False,9679,1311,0,46,Video game culture,,,,shorts
2024-08-15 11:00:20+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Gamer move Chained Alone #shorts #vtuber,PzcGiISelyQ,,https://i.ytimg.com/vi/PzcGiISelyQ/sddefault.jpg,Chain Together,24,id,60,True,public,False,34414,3218,0,96,"Action adventure game,Action game,Role playing video game,Video game culture",,,,shorts
2024-07-29 12:00:01+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Nyoba Kutu Laut sampe mabok #shorts #vtuber #food,0g87goEwob4,,https://i.ytimg.com/vi/0g87goEwob4/sddefault.jpg,,24,id,58,True,public,False,33534,3771,0,115,Entertainment,,,,shorts
2024-07-22 10:00:31+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Tersesat ohh tersesat.. #shorts #meme #sekolah,RABZe_6ySSs,,https://i.ytimg.com/vi/RABZe_6ySSs/sddefault.jpg,,24,id,61,True,public,False,3114,305,0,11,Entertainment,,,,shorts
2024-07-07 12:04:42+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Jawa Baik vs Jawa Jahat #shorts #vtuber #meme,xn7MB78WYck,,https://i.ytimg.com/vi/xn7MB78WYck/sddefault.jpg,,24,id,60,True,public,False,23470,2950,0,67,"Entertainment,Film",,,,shorts
2024-07-04 13:32:35+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Eric si murid 'pintar' 😋 #shorts #meme #homework,ZSdQMisHMDw,,https://i.ytimg.com/vi/ZSdQMisHMDw/sddefault.jpg,,24,id,60,True,public,False,3440,338,0,19,"Entertainment,Film",,,,shorts
2024-07-03 12:00:56+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Anak kecil kerja malam-malam? #shorts #meme #vtuber,wTN7OtbPop0,,https://i.ytimg.com/vi/wTN7OtbPop0/sddefault.jpg,,24,id,26,True,public,False,6349,895,0,42,Entertainment,,,,shorts
2024-06-22 13:00:42+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Aku ini ahli tidak skill issue #shorts #vtuber,fncjylFmYEA,,https://i.ytimg.com/vi/fncjylFmYEA/sddefault.jpg,,24,id,60,True,public,False,12693,1214,0,27,"Strategy video game,Video game culture",,,,shorts
2024-06-18 10:00:14+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,PR Keluarga Bencana Emma #shorts #school #correction,JMQ96wO4Jko,Sc : @kids_paper_checking (IG),https://i.ytimg.com/vi/JMQ96wO4Jko/sddefault.jpg,,20,id,60,True,public,False,3351,288,0,18,Entertainment,,,,shorts
2024-06-10 13:00:25+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,PR Julian Bocil Sigma #shorts #correction #school,G7N9U8QYkew,Sc : @memdayi (IG),https://i.ytimg.com/vi/G7N9U8QYkew/sddefault.jpg,,24,id,60,True,public,False,3154,237,0,13,,,,,shorts
2024-06-08 08:00:27+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Loli jawa nyasar di Jepang #shorts #vtuber #jawa,qBIGMJvfr-g,,https://i.ytimg.com/vi/qBIGMJvfr-g/sddefault.jpg,,20,id,60,True,public,False,28415,2580,0,41,Video game culture,,,,shorts
