published_date,channel_id,channel_title,video_title,video_id,description,thumbnail_url,video_tag,categoryId,defaultAudioLanguage,duration(s),licensed_content,status,for_kids,view_count,like_count,favorite_count,comment_count,topic_category,start_time(UTC),end_time(UTC),scheduled_time(UTC),video_type
2024-07-14 15:00:07+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,【JOWO COVER】Sebatas Video Call - Cecilia Lieberia,hJfntBgCLX0,"🌙 Cecil & Rememe Merchandise
https://www.tokopedia.com/rememories

= = = = = = = = = = = = = =

『Original Credit』
● Original : 【MV】Sebatas Video Call - Kobo Kanaeru
  https://www.youtube.com/watch?v=UJbV345kyeg

『Cover Credit』
● Vocal : Cecilia Lieberia
● Translyrics : Soraあ (https://x.com/Haruki_Soraa)
● Mixing : ‪ @KenForceKevinS 
● Video : Nimeaw (https://x.com/nimeaw1)

『Video Submissions Credit』
| Asy Sol | bremya | Cira | Faisal Putra | Farros | 
| feyy | FirMaan | Ghost Clip Ch  | Ici tea | 
| Ikazuchi Kitsunekana | Iku-san | Kobo Komputer Ch. | 
| Min | NPC (Ryan Alfian) | Ocang | PIKAMEN ZERO | 
| Raina | Rakel | Rizukikaze | Tepe | Tyue | 
| Y.U.R.I Not Official |
= = = = = = = = = = = = = =

You can support me through here!~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.facebook.com/Cecilia.Lieberia
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/hJfntBgCLX0/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,cecilia lieberia,cecil rememories,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,reinly,vtuber indonesia,anime,vtuber anime,muse indonesia,loli,jowo,medok",24,id,182,False,public,False,4210,664,0,76,"Music,Music of Asia,Pop music",2024-07-14 15:00:07+00:00,,2024-07-14 15:00:00+00:00,vod
2024-06-23 13:15:06+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,【JOWO COVER】IDOL - Cecilia Lieberia,ZseduiG8QwA,"[TURN ON YOUTUBE CC FOR TRANSLATION]

🌙 Cecil & Rememe Merchandise
https://www.tokopedia.com/rememories

= = = = = = = = = = = = = =

『Original Credit』
● Original : YOASOBI「アイドル」 Official Music Video
  https://www.youtube.com/watch?v=ZRtdQ81jPUQ

『Cover Credit』
● Vocal : Cecilia Lieberia
● Translyrics & Youtube CC : Soraあ (https://x.com/Haruki_Soraa)
● Mixing : ‪ @reynardblanc  
● Art : Gumi (https://x.com/gumixn)
● Video : Yayo (https://x.com/yayoharo86)

= = = = = = = = = = = = = =

You can support me through here!~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#idolyoasobi #CileSing #jowo #CeciliaLieberia #Vtuberindo #virtualyoutuber",https://i.ytimg.com/vi/ZseduiG8QwA/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia,loli",24,id,215,False,public,False,14486,2034,0,232,"Music,Music of Asia,Pop music",2024-06-23 13:15:06+00:00,,2024-06-23 13:15:00+00:00,vod
2024-02-29 13:00:11+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,【LYRICS VIDEO】Lagu: Jowo ver.,hAyqCAucShU,"Birthday Present for our precious nee-chan, Chloe Pawapua

🌙 Cecil & Rememe Merchandise
https://www.tokopedia.com/rememories

= = = = = = = = = = = = = =

『Credit』
● Original: @ChloePawapua 
https://youtu.be/C4R-P5frInY?si=4asQyy6D5F4ZO1Li
● Vocal & Art:  @CeciliaLieberia 
● Music & Mixing:  @reynardblanc 
● Translirik & Video: Soraあ (https://twitter.com/Haruki_Soraa)

= = = = = = = = = = = = = =

『Lirik』

[Verse]
Guyu aku ngrungokno
Kata-kata sing mbok simpen gawe aku
Ora jago nanging kowe ijik gelem ngegombal

Jare wong-wong liyane
Tresno iku guduk ngomong wae
Ngerti ngunu, lapo ati iki ora ngenolak?

[Chorus]
Jare mu, ""Dino minggu iku weekend nanging tresno kene iku will never end""
Jare mu, ""Tebak awan opo sing paling apik? 
Awan-awan mikirno kowe karo ngunjuk kopi""
Jare uwong ngekei gombalan ki watak sing koyok bocah
Nanging rapopo nek gawe katresnan awak dewe
Ku seneng kene guya guyu mesem lan merana~

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter:

 / cecilialieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram:

 / cecilialieberia
📖 TikTok:

 / cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#CileSong #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/hAyqCAucShU/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia,loli",24,id,113,True,public,False,4423,683,0,91,"Music,Music of Asia,Pop music",2024-02-29 13:00:11+00:00,,2024-02-29 13:00:00+00:00,vod
2024-02-25 13:00:06+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Ambil Kesempatan Menang Plushie dengan Tanda Tangan Cecil!!!【 WORLD OF WARSHIPS 】,3RwMAalETSI,"Siap tunjukkan kemampuanmu dalam strategi dan tembakan meriam!? Gass download World of Warships pakai link di bawah ini~
  • PC : https://wo.ws/42AM3xj 
  • Console : https://wo.ws/3STMKPb

Di sini juga ada kode khusus ""FIRSTDATE"" bagi kalian yang baru memainkan WoW lho!
Dengan kode di atas, kalian bisa mendapatkan:
  • 2.14 million credits
  • 500 doubloons
  • 7 days Premium Account
  • Valentine's Day camouflage x14
  • Valentine's Day flag 

Dan jangan lupa! Kalian juga bisa bawa pulang Plushie ""Bad Advice"" yang sudah Cecil tanda tangani dengan mengikuti giveaway ini~

Cara ikutannya gini~
1) Download gamenya di link aku~
2) Posting di X kalau kalian sudah main gamenya!
3) Lampirin hashtag #WOWSFIRSTDATE, #FIRSTDATEWITHCECILIA
4) Screenshot statistik sudah pernah main sekali~
5) Komentar singkat tentang WoW~

Komentar paling menarik nanti bakal aku pilih jadi pemenang!

Cecil tunggu submit giveaway-nya sampai tanggal 28 Februari 2024 ya! Pemenang akan diumumkan melalui X (Twitter) pada tanggal 29 Februari 2024 dan pengiriman akan dilaksanakan pada awal Maret~

Jadii, seberapa GG tembakanmu? 😋

#WorldofWarships",https://i.ytimg.com/vi/3RwMAalETSI/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,reinly,live2d,vtuber indonesia,anime,vtuber anime,loli",20,id,846,True,public,False,906,123,0,12,"Action adventure game,Action game,Strategy video game,Video game culture",,,,vod
2023-12-25 13:00:12+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,【JOWO COVER】Rasakno!! Loli-Kami Requiem☆- Cecilia Lieberia,71Z9ZAnQwZw,"[TURN ON YOUTUBE CC FOR TRANSLATION]

🌙 Cecil & Rememe Merchandise
https://www.tokopedia.com/rememories

= = = = = = = = = = = = = =

『Original Credit』
● Original: 【オリジナル楽曲】粛聖!! ロリ神レクイエム☆ / しぐれうい（9さい）
https://youtu.be/Ci_zad39Uhw

『Cover Credit』
● Vocal : Cecilia Lieberia
● Translyrics & Youtube CC : Soraあ (https://twitter.com/Haruki_Soraa)
● Mixing : @reynardblanc 
● Art : Ruisou (https://twitter.com/Ren_ruisou)
● Video : Nimeaw (https://twitter.com/nimeaw1)

= = = = = = = = = = = = = =

You can support me through here!~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber #lolikamirequiem #shigureui #loli",https://i.ytimg.com/vi/71Z9ZAnQwZw/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia,loli kami requiem,jowo cover,shigure ui,loli kami,ロリ神,歌ってみた,しぐれうい",20,id,277,False,public,False,78263,9037,0,538,"Music,Music of Asia,Pop music",2023-12-25 13:00:12+00:00,,2023-12-25 13:00:00+00:00,vod
2023-11-25 13:00:09+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,【COVER】escape / Natsunose ft. 缶缶(Kankan) - Cecilia Lieberia ft. AyamBakar Studio,h55F6mFbr8I,"Escape from Comfort Zone, yuk?

Collaboration with AyamBakar Studio

= = = = = = = = = = = = = =

『Original Credit』
● Original: ナツノセ - escape feat.缶缶
https://youtu.be/5HahzxGLCHk?si=Z15KC_nFOJT7D5j5

『Cover Credit』
● Vocal : @CeciliaLieberia
● Music & Mixing:  @reynardblanc 
● Video: AyamBakar Studio (https://twitter.com/AyamStudio)

= = = = = = = = = = = = = =

You can support me through here!~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.facebook.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/h55F6mFbr8I/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",24,id,145,True,public,False,2683,322,0,78,"Music,Music of Asia,Pop music",2023-11-25 13:00:09+00:00,,2023-11-25 13:00:00+00:00,vod
2023-04-30 14:30:09+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,【COVER】Because You're Here / PinocchioP -  Cecilia Lieberia,Rl0GGyH2V60,"🌙 Cecil & Rememe Merchandise
https://www.tokopedia.com/rememories

Oh! Asmara (but Jowo ver.)
https://www.youtube.com/watch?v=vdRWFEUg5n0

= = = = = = = = = = = = = =

『Original Credit』
● Original: ピノキオピー - 愛されなくても君がいる feat. 初音ミク / Because You’re Here
https://youtu.be/ygY2qObZv24

『Cover Credit』
● Vocal :  @CeciliaLieberia 
● Mixing:  @ReynardBlanc 
● Character & Stage Art: Ikazu401 (https://twitter.com/Ikazu401)
● Video: yayo (https://twitter.com/yayoharo86)
● Background Material: https://min-chi.material.jp/

= = = = = = = = = = = = = =
You can support me through here!~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#Aisarenakutemokimigairu #pinocchiop #hatsunemiku #CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/Rl0GGyH2V60/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",24,id,274,False,public,False,12273,983,0,173,"Music,Music of Asia,Pop music",2023-04-30 14:30:09+00:00,,2023-04-30 14:30:00+00:00,vod
2023-04-29 13:30:10+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Oh! Asmara (but Jowo ver.),vdRWFEUg5n0,"#AsmaraUntukKobo #OhAsmara #KoboKanaeru
L2D Music Video dari Oh! Katresnan (Oh! Asmara Jowo version) oleh Cecil

🌙 Cecil & Rememe Merchandise
https://www.tokopedia.com/rememories

= = = = = = = = = = = = = =

『Original Credit』
● Original: https://youtu.be/DR43SQx8Ybc
● Composition & Lyrics:  @KoboKanaeru 
● Music Production, Co-composition, Harmo, and Vocal Director: Erikson Jayanto 
(https://twitter.com/erikson_jayanto, https://www.instagram.com/eriksonjayanto)
● Mixing: Bpk. Sutirto (https://twitter.com/bpk_SUTIRTO)

『Cover Credit』
● Vocal & Storyboard:  @CeciliaLieberia 
● Mixing:  @reynardblanc 
● Translyric & Video: Soraあ (https://twitter.com/Haruki_Soraa)

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber #OhAsmaraJowo",https://i.ytimg.com/vi/vdRWFEUg5n0/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",24,id,249,False,public,False,39528,4301,0,326,"Music,Music of Asia,Pop music",2023-04-29 13:30:10+00:00,,2023-04-29 13:30:00+00:00,vod
2023-04-22 17:00:19+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Cecilia Birthday Stream! #Liebirthday,PLFCI_3GR2s,"You can support me through here!~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia: https://rememories.id/elainecelestia
🎹 Reynard Blanc: https://rememories.id/reynardblanc
💫 Lily Ifeta: https://rememories.id/lilyifeta
🍀 Chloe Pawapua: https://rememories.id/chloepawapua

#CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber #Liebirthday",https://i.ytimg.com/vi/PLFCI_3GR2s/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",24,id,24,True,public,False,2448,275,0,62,Lifestyle (sociology),,,,vod
2022-12-04 13:30:23+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,ADMIN DEBM SELAMA INI VTUBER!?,i6XafMwt6NE,"You can support me through here!~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia: https://rememories.id/elainecelestia
🎹 Reynard Blanc: https://rememories.id/reynardblanc
💫 Lily Ifeta: https://rememories.id/lilyifeta
🍀 Chloe Pawapua: https://rememories.id/chloepawapua

#CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber #clip #debm #fyp",https://i.ytimg.com/vi/i6XafMwt6NE/sddefault.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",20,id,79,True,public,False,6934,571,0,51,,,,,vod
