video_id,video_title,view_count,thumbnail_url
FNzsr96Di2M,Nyasar nang Cafe Spy X Family!? #shorts #spyxfamily #vtuber,15874,https://i.ytimg.com/vi/FNzsr96Di2M/sddefault.jpg
jtglQh4B8VY,Roasting Cegil berkedok QnA #shorts #vtuber #qna,9749,https://i.ytimg.com/vi/jtglQh4B8VY/sddefault.jpg
K-ZPqIs_F4c,Vtuber penyabar #shorts #vtuber,9679,https://i.ytimg.com/vi/K-ZPqIs_F4c/sddefault.jpg
PzcGiISelyQ,Gamer move Chained Alone #shorts #vtuber,34414,https://i.ytimg.com/vi/PzcGiISelyQ/sddefault.jpg
0g87goEwob4,Nyoba Kutu Laut sampe mabok #shorts #vtuber #food,33534,https://i.ytimg.com/vi/0g87goEwob4/sddefault.jpg
xn7MB78WYck,Jawa Baik vs Jawa Jahat #shorts #vtuber #meme,23470,https://i.ytimg.com/vi/xn7MB78WYck/sddefault.jpg
fncjylFmYEA,Aku ini ahli tidak skill issue #shorts #vtuber,12693,https://i.ytimg.com/vi/fncjylFmYEA/sddefault.jpg
qBIGMJvfr-g,Loli jawa nyasar di Jepang #shorts #vtuber #jawa,28415,https://i.ytimg.com/vi/qBIGMJvfr-g/sddefault.jpg
zIUNTZ9mZD8,Aaa jangan dong 🥺,9901,https://i.ytimg.com/vi/zIUNTZ9mZD8/sddefault.jpg
E8-R9NEHQJg,The Last Sebul Bender #shorts #meme,18508,https://i.ytimg.com/vi/E8-R9NEHQJg/sddefault.jpg
REu6lXBDndU,FANTECH x ONE PIECE!? LIMITED ITEM REVIEW LESGOOO!!! #Vtuber #shorts,46715,https://i.ytimg.com/vi/REu6lXBDndU/sddefault.jpg
j_qQvJK5mC8,Jokes bapak-bapak pt.2 #shorts,12402,https://i.ytimg.com/vi/j_qQvJK5mC8/sddefault.jpg
xvmcIgA1--Q,Jokes bapak-bapak pt.1 #shorts,13227,https://i.ytimg.com/vi/xvmcIgA1--Q/sddefault.jpg
XUy3Kbou4aY,"Ui's Loli Song, but... #しぐれうい #粛清 #trending #shorts",32293,https://i.ytimg.com/vi/XUy3Kbou4aY/sddefault.jpg
MdEnsPbaCWU,David Guetta & Bebe Rexha - I'm Good (Blue) #shorts #imgoodblue #vtuber,12498,https://i.ytimg.com/vi/MdEnsPbaCWU/sddefault.jpg
o4ckcIdUs5Q,Teori skin Herta #shorts #herta #honkaistarrail,14205,https://i.ytimg.com/vi/o4ckcIdUs5Q/sddefault.jpg
P1nZm-8lb8w,Ngenyek a kon? Pinjam seratus #shorts #javanese #jawa #voiceacting #loli,9852,https://i.ytimg.com/vi/P1nZm-8lb8w/sddefault.jpg
fDV3nr60rjE,Japanese Goblin Parody #shorts #japanesegoblin #japanesesong,9250,https://i.ytimg.com/vi/fDV3nr60rjE/sddefault.jpg
GNuXq22fhgo,Mana tahan #shorts #everybody #backstreetboys,18078,https://i.ytimg.com/vi/GNuXq22fhgo/sddefault.jpg
BfXn_Y50dYU,Pela aslinya anime jowo #shorts #pela #honkaistarrail #hoyoverse #kurukuru,35551,https://i.ytimg.com/vi/BfXn_Y50dYU/sddefault.jpg
tuJMcwDVcQY,Kuru kuru jowo #shorts #kurukuru #honkaistarrail #hoyoverse,15142,https://i.ytimg.com/vi/tuJMcwDVcQY/sddefault.jpg
Oh7ZT9IKsB8,Anime ini mirip kuru kuru? #shorts #honkaistarrail #herta #hoyoverse,50948,https://i.ytimg.com/vi/Oh7ZT9IKsB8/sddefault.jpg
V3IOvlDkaD4,IDOL - Yoasobi (Jawa ver.) #shorts #idol #jowo,13085,https://i.ytimg.com/vi/V3IOvlDkaD4/sddefault.jpg
o4hI4GBQoMA,Iseng Dub Jowo : Oshi No Ko #shorts #oshinoko,10781,https://i.ytimg.com/vi/o4hI4GBQoMA/sddefault.jpg
fXi7eVT0YkY,Vtuber Halal #shorts,13155,https://i.ytimg.com/vi/fXi7eVT0YkY/sddefault.jpg
wEheFVsXBhg,Alarm Sahuur~ #shorts,9316,https://i.ytimg.com/vi/wEheFVsXBhg/sddefault.jpg
qCYKvdKGT9w,"Anya, Haha inakute... #shorts #anime",9572,https://i.ytimg.com/vi/qCYKvdKGT9w/sddefault.jpg
Nfq_yathsG0,Gak Bolehh~ #shorts #anime,15119,https://i.ytimg.com/vi/Nfq_yathsG0/sddefault.jpg
jLDkjqF53LQ,Password WiFi 2 #shorts,14860,https://i.ytimg.com/vi/jLDkjqF53LQ/sddefault.jpg
LEKljmhiFMU,No OFFEND! #shorts,9730,https://i.ytimg.com/vi/LEKljmhiFMU/sddefault.jpg
qgCtu1tGQsM,Password WiFi #shorts,9979,https://i.ytimg.com/vi/qgCtu1tGQsM/sddefault.jpg
GpCSmF_I-Zc,Vidcall karo ... #shorts,8869,https://i.ytimg.com/vi/GpCSmF_I-Zc/sddefault.jpg
pGQCJ9iAXsw,Badak dan Ikan ...? #shorts #vtuber #vtuberindo #wibu #anime #comedy,10437,
lOEk05h7ufA,Ojo Dibandingke ✨ Vtuber Koplo ✨,11472,https://i.ytimg.com/vi/lOEk05h7ufA/sddefault.jpg
2kIb1ShcLQ8,Jangan Lupa...,27675,https://i.ytimg.com/vi/2kIb1ShcLQ8/sddefault.jpg
